UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total_Students,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
196097001,Stony Brook University,Stony Brook University,100 Nicolls Road,STONY BROOK,NY,11794,1,"Public, 4-year or above",12210,11933,24143,8,192,205,1,149,285,8,162,178
196103001,SUNY College of Environmental Science and Forestry,SUNY College of Environmental Science and Forestry,ONE FORESTRY DR,SYRACUSE,NY,13210,1,"Public, 4-year or above",1225,1004,2229,0,14,30,0,26,79,0,24,65
196112001,SUNY Institute of Technology at Utica-Rome,Main Campus,100 Seymour Raod,UTICA,NY,13502,1,"Public, 4-year or above",1346,1134,2480,0,6,49,0,16,23,0,4,10
196121001,SUNY College at Brockport,Main Campus,350 NEW CAMPUS DR,BROCKPORT,NY,14420,1,"Public, 4-year or above",3542,4586,8128,5,95,436,4,107,366,3,76,412
196130001,Buffalo State SUNY,Buffalo State College,1300 ELMWOOD AVE,BUFFALO,NY,142221095,1,"Public, 4-year or above",4578,6513,11091,8,169,56,1,234,205,0,151,187
196149001,SUNY College at Cortland,Main Campus,PO BOX 2000,CORTLAND,NY,13045,1,"Public, 4-year or above",3070,4040,7110,0,70,363,0,53,292,0,34,280
196158001,SUNY at Fredonia,Main Campus,CENTRAL AVE,FREDONIA,NY,14063,1,"Public, 4-year or above",2348,3043,5391,0,115,442,1,93,325,0,32,163
196167001,SUNY College at Geneseo,SUNY at Geneseo,1 College Circle,Geneseo,NY,144541477,1,"Public, 4-year or above",2357,3287,5644,0,20,138,0,0,151,0,9,31
196176001,State University of New York at New Paltz,"State University of New York, College at New Paltz",1 Hawk Drive,NEW PALTZ,NY,12561,1,"Public, 4-year or above",2753,4825,7578,4,43,43,2,79,39,5,32,29
196185001,SUNY Oneonta,Main Campus,RAVINE PKY,ONEONTA,NY,13820,1,"Public, 4-year or above",2356,3678,6034,0,63,255,0,39,229,0,28,174
196194001,SUNY College at Oswego,Main Campus,Route 104 West,OSWEGO,NY,13126,1,"Public, 4-year or above",3873,4244,8117,1,45,198,2,47,242,0,44,177
196200001,SUNY College at Potsdam,Main Campus,Pierrepont Avenue,Potsdam,NY,136762294,1,"Public, 4-year or above",1661,2381,4042,0,47,164,4,50,113,1,32,84
196219001,SUNY at Purchase College,Main Campus,735 ANDERSON HILL RD,PURCHASE,NY,10577,1,"Public, 4-year or above",1937,2416,4353,0,90,21,0,122,147,0,186,123
196237001,SUNY College at Old Westbury,SUNY College at Old Westbury,223 STORE HILL RD  PO Box 210,OLD WESTBURY,NY,115680210,1,"Public, 4-year or above",1850,2517,4367,0,58,80,1,40,80,3,29,34
196246001,SUNY College at Plattsburgh,Main Campus,101 Broad Street,PLATTSBURGH,NY,12901,1,"Public, 4-year or above",2577,3474,6051,1,27,27,0,28,26,0,20,17
196291001,SUNY Maritime College,SUNY Maritime College,6 PENNYFIELD AVE,BRONX,NY,10465,1,"Public, 4-year or above",1548,207,1755,0,3,30,0,1,9,3,6,18
196413001,Syracuse University,Main Campus,900 S. Crouse Ave.,SYRACUSE,NY,13244,2,"Private nonprofit, 4-year or above",9789,11478,21267,1,181,1057,1,155,1020,3,263,1258
196866001,Union College,Main Campus,807 UNION ST,SCHENECTADY,NY,123082311,2,"Private nonprofit, 4-year or above",1210,1036,2246,0,121,547,0,144,503,2,115,550
197045001,Utica College,Main Campus,1600 BURRSTONE RD,UTICA,NY,135024892,2,"Private nonprofit, 4-year or above",1595,2433,4028,2,55,106,2,80,104,4,94,96
197133001,Vassar College,Main Campus,124 RAYMOND AVE,POUGHKEEPSIE,NY,12604,2,"Private nonprofit, 4-year or above",1099,1378,2477,0,123,358,0,77,224,0,61,167
197197001,Wagner College,Main Campus,ONE CAMPUS RD,STATEN ISLAND,NY,103014495,2,"Private nonprofit, 4-year or above",768,1477,2245,0,27,112,0,19,83,0,33,66
