UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
190725001,Daemen College,Main Campus,4380 Main Street,AMHERST,NY,142263592,2,"Private nonprofit, 4-year or above",746,2125,2871,0,1,1,0,1,0,0,2,0
190761001,Dominican College of Blauvelt,Main Campus,470 Western Highway,Orangeburg,NY,109621210,2,"Private nonprofit, 4-year or above",689,1309,1998,0,0,0,0,0,0,0,0,0
190770001,Dowling College,Dowling College,150 Idle Hour Blvd.,Oakdale,NY,117691999,2,"Private nonprofit, 4-year or above",1398,1800,3198,0,0,0,0,0,0,0,0,0
190770002,Dowling College,Dowling College / Brookhaven Campus,1300 William Floyd Parkway,Shirley,NY,119671822,2,"Private nonprofit, 4-year or above",1398,1800,3198,0,0,0,0,0,0,0,0,0
190983001,Elmira College,Main Campus,One Park Place,Elmira,NY,14901,2,"Private nonprofit, 4-year or above",432,1110,1542,0,0,0,0,0,0,0,0,0
191126001,Fashion Institute of Technology,FASHION INSTITUTE OF TECHNOLOGY,7th Avenue  at  27th Street,NEW YORK,NY,100015992,1,"Public, 4-year or above",1503,8252,9755,0,0,0,0,0,0,0,0,0
191241001,Fordham University,Main Campus,441 E FORDHAM RD,BRONX,NY,10458,2,"Private nonprofit, 4-year or above",6412,8685,15097,0,0,0,0,0,0,0,0,0
191241002,Fordham University,FORDHAM UNI-LINCOLN CENTER CAMPUS,113 W 60 ST,NEW YORK,NY,10023,2,"Private nonprofit, 4-year or above",6412,8685,15097,0,0,0,0,0,0,0,0,0
191515001,Hamilton College,Main Campus,198 COLLEGE HILL RD,CLINTON,NY,13323,2,"Private nonprofit, 4-year or above",938,988,1926,0,0,0,0,0,7,0,1,0
191533001,Hartwick College,Main Campus,One Hartwick Drive,ONEONTA,NY,138204020,2,"Private nonprofit, 4-year or above",656,962,1618,0,0,0,1,0,0,0,0,0
191621001,Hilbert College,Main Campus,5200 S PARK AVE,HAMBURG,NY,140751597,2,"Private nonprofit, 4-year or above",479,591,1070,0,1,0,0,0,0,0,0,0
191630001,Hobart William Smith Colleges,Main Campus,300 Pulteney Street,GENEVA,NY,14456,2,"Private nonprofit, 4-year or above",1089,1283,2372,0,1,0,0,3,0,0,2,2
191649001,Hofstra University,Main Campus,1000 Hempstead Turnpike,HEMPSTEAD,NY,115491170,2,"Private nonprofit, 4-year or above",4843,6085,10928,0,5,0,0,2,0,0,2,0
191676001,Houghton College,Main Campus,1 WILLARD AVE,HOUGHTON,NY,14744,2,"Private nonprofit, 4-year or above",397,703,1100,0,0,0,0,0,0,0,1,0
191931001,Iona College,Main Campus,715 NORTH AVE,NEW ROCHELLE,NY,108011890,2,"Private nonprofit, 4-year or above",1897,2344,4241,0,0,0,0,0,0,0,0,0
191968001,Ithaca College,Main Campus,953 DANBY RD,ITHACA,NY,148507000,2,"Private nonprofit, 4-year or above",2865,3858,6723,0,6,6,1,17,2,0,5,2
192192001,Keuka College,Main Campus,Central Avenue,Keuka Park,NY,14478,2,"Private nonprofit, 4-year or above",470,1566,2036,0,0,0,1,4,1,0,2,1
192323001,Le Moyne College,Main Campus,1419 SALT SPRINGS RD,SYRACUSE,NY,132141399,2,"Private nonprofit, 4-year or above",1327,1992,3319,0,3,0,1,1,0,0,0,0
192439001,LIU Brooklyn,Main Campus,UNIVERSITY PLAZA,BROOKLYN,NY,112015372,2,"Private nonprofit, 4-year or above",2499,5984,8483,0,0,0,0,0,0,0,0,0
192448001,LIU Post,LIU Post,720 NORTHERN BLVD,BROOKVILLE,NY,115481300,2,"Private nonprofit, 4-year or above",4089,6510,10599,0,1,0,0,1,0,0,0,0
192703001,Manhattan College,Main Campus,MANHATTAN COLLEGE PKY,BRONX,NY,104714098,2,"Private nonprofit, 4-year or above",2110,1773,3883,0,2,0,0,1,0,0,0,0
192749001,Manhattanville College,Main Campus,2900 PURCHASE ST,PURCHASE,NY,10577,2,"Private nonprofit, 4-year or above",945,1805,2750,0,3,1,1,3,1,0,3,0
192819001,Marist College,Main Campus,3399 NORTH RD,POUGHKEEPSIE,NY,12601,2,"Private nonprofit, 4-year or above",2663,3702,6365,0,0,0,0,1,0,0,0,0
192925001,Medaille College,Main Campus,18 AGASSIZ CIR,BUFFALO,NY,142142695,2,"Private nonprofit, 4-year or above",730,1660,2390,0,1,0,0,0,0,0,0,0
193016001,Mercy College,Mercy College - Dobbs Ferry Campus,555 Broadway,Dobbs Ferry,NY,10522,2,"Private nonprofit, 4-year or above",3182,8466,11648,0,0,0,0,0,0,0,1,0
193292001,Molloy College,Main Campus,1000 HEMPSTEAD AVE,ROCKVILLE CENTRE,NY,115715002,2,"Private nonprofit, 4-year or above",1108,3347,4455,0,0,0,0,0,0,0,0,0
193353001,Mount Saint Mary College,Main Campus,330 POWELL AVE,NEWBURGH,NY,12550,2,"Private nonprofit, 4-year or above",754,1802,2556,0,0,0,0,0,0,0,0,0
193399001,College of Mount Saint Vincent,College of Mount Saint Vincent,6301 RIVERDALE AVE,BRONX,NY,104711093,2,"Private nonprofit, 4-year or above",520,1418,1938,0,1,0,0,2,0,0,3,0
193584001,Nazareth College,Main Campus,4245 EAST AVE,ROCHESTER,NY,146183790,2,"Private nonprofit, 4-year or above",716,2107,2823,0,0,0,0,0,0,0,0,0
193645001,The College of New Rochelle,Main Campus,29 CASTLE PL,NEW ROCHELLE,NY,108052339,2,"Private nonprofit, 4-year or above",419,3547,3966,0,0,0,0,0,0,0,0,0
193654001,The New School,Main Campus,66 W 12 ST,NEW YORK,NY,10011,2,"Private nonprofit, 4-year or above",3172,7129,10301,0,0,0,0,0,0,0,0,0
193900001,New York University,NYU Main Campus,70 WASHINGTON SQ SOUTH,NEW YORK,NY,10012,2,"Private nonprofit, 4-year or above",18619,25980,44599,0,0,0,0,0,0,0,0,0
193973001,Niagara University,Main Campus,5795 Lewiston Road,NIAGARA UNIVERSITY,NY,14109,2,"Private nonprofit, 4-year or above",1588,2468,4056,0,0,0,0,0,0,0,1,0
194091001,New York Institute of Technology,Main Campus,NORTHERN BLVD,OLD WESTBURY,NY,115688000,2,"Private nonprofit, 4-year or above",4320,3225,7545,0,0,0,0,0,0,0,0,0
194310001,Pace University-New York,Pace University,1 PACE PLAZA,NEW YORK,NY,100381598,2,"Private nonprofit, 4-year or above",4986,7638,12624,0,1,0,0,0,0,0,0,0
194310003,Pace University-New York,Pleasantville/Briarcliff,861 Bedford Rd,Pleasantville,NY,10570,2,"Private nonprofit, 4-year or above",4986,7638,12624,0,0,0,0,1,0,0,0,0
194541001,Polytechnic Institute of New York University,Main Campus,SIX METROTECH CTR,BROOKLYN,NY,112013840,2,"Private nonprofit, 4-year or above",3603,1287,4890,0,1,0,0,0,0,0,0,0
194578001,Pratt Institute-Main,Pratt Institute,200 WILLOUGHBY AVE,BROOKLYN,NY,11205,2,"Private nonprofit, 4-year or above",1522,3271,4793,0,0,0,0,0,0,0,3,0
194824001,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,110 8TH ST,TROY,NY,121803590,2,"Private nonprofit, 4-year or above",4728,1986,6714,0,0,0,0,0,0,0,0,0
194958001,Roberts Wesleyan College,Roberts Wesleyan College,2301 WESTSIDE DR,ROCHESTER,NY,14624,2,"Private nonprofit, 4-year or above",485,1250,1735,0,0,0,0,0,0,0,0,0
195003001,Rochester Institute of Technology,Main Campus,1 LOMB MEMORIAL DR,ROCHESTER,NY,146235603,2,"Private nonprofit, 4-year or above",11235,5348,16583,0,4,1,0,2,0,0,0,0
195030001,University of Rochester,Main Campus,500 Wilson Boulevard,Rochester,NY,146270011,2,"Private nonprofit, 4-year or above",5342,5678,11020,0,3,0,0,1,0,0,0,0
195128001,The Sage Colleges,Russell Sage College for Women,65 First St.,TROY,NY,12180,2,"Private nonprofit, 4-year or above",549,2283,2832,0,0,0,0,0,0,0,1,0
195128002,The Sage Colleges,Sage College of Albany,140 New Scotland Ave.,Albany,NY,12208,2,"Private nonprofit, 4-year or above",549,2283,2832,0,0,0,0,0,0,0,1,0
195164001,St Bonaventure University,Main Campus,3261 West State Road,ST BONAVENTURE,NY,14778,2,"Private nonprofit, 4-year or above",1057,1187,2244,0,0,0,0,4,0,0,0,0
195216001,St Lawrence University,St. Lawrence University,23 Romoda Drive,CANTON,NY,13617,2,"Private nonprofit, 4-year or above",1114,1392,2506,0,2,0,1,1,0,0,0,0
